University,Applicants,Test.Takers,Passed,Medical.Score,English.Score,Total.Score
Univ Aut. Aguascalientes,157,153,66,54.8,6.6,60.96
"Centro Est. Univ. Xochicalco, U. Tijuana",69,62,17,51.5,5.61,57.11
"Centro Est. Univ. Xochicalco, U. Ensenada",116,111,23,50.45,5.88,56.33
Univ. Aut. BC U. Mexicali,168,164,84,56.05,6.41,62.46
Univ. Aut. BC U. Tijuana,151,141,69,55.26,6.74,62
Univ. Aut. Campeche,109,108,29,52.85,6.01,58.86
Ins. Est. Superirores de Chiapas,222,217,15,47.01,4.74,51.75
Univ. Aut. De Chiapas,448,434,80,51.66,5.35,57.01
Univ. Aut. Chihuahua,172,171,91,56.31,6.45,62.76
Univ. Aut. De Cd. Juárez,270,258,63,50.58,6,56.58
Univ. Aut. Coahuila U. Saltillo,102,96,34,54.18,6.07,60.25
Univ. Aut. Coahuila U. Torreón,98,92,34,54.21,6.26,60.47
Univ. De Colima,133,128,44,52.9,6.1,59
Esc. Libre de Homeopatía de México,5,5,0,49.6,5.4,55
IPN Centro Interdisciplinario de C. Salud,262,251,24,48.18,4.68,52.86
IPN Esc Nal. Med. Y Homeópata,336,328,29,47.85,4.74,52.59
IPN Esc Sup. Medicina,844,822,176,51.65,5.23,56.88
UNAM FES Zaragoza,375,362,104,52.79,5.31,58.1
UNAM FM-CU,1373,1338,621,55.6,5.9,61.5
Univ Aut. Metropolitana U. Xochimilco,278,271,64,51.7,5.75,57.45
Univ La Salle,232,224,139,58.27,7.23,65.5
Univ Panameriacana,40,39,34,62.47,7.41,69.88
Univ. Justo Sierra,203,198,38,51.18,5.69,56.87
Univ. West Hill Institute S.C.,131,128,29,53,5.96,58.96
Univ Jurez Edo. Durango U. Durango,259,247,61,51.18,5.64,56.82
Univ. Jurez Edo. Durango U.Gmez Palacio,174,171,48,51.72,5.63,57.35
Esc. Med. Tominaga Nakamoto,73,70,6,49.19,5.42,54.61
UNAM FES Iztacala,1088,1052,252,52.25,5.48,57.73
Univ. Anahuac,234,227,90,55.91,6.84,62.75
Univ. Aut. Edo de México,222,201,63,54.42,6.17,60.59
Univ. Guanajuato,152,145,87,57.86,6.85,64.71
Univ. Quetzalcoatl,105,101,26,52.16,5.58,57.74
Univ. Aut. Guerrero,504,483,55,48.09,4.36,52.45
Univ. Aut. Hidalgo,526,503,135,52.4,5.6,58
Univ. Aut. Guadalajar,942,903,250,52.87,6.09,58.96
Univ. De Guadalajar,1322,1269,425,53.14,6.14,59.28
Univ. De Guadalajara U. Cd. Guzmán,140,129,43,53.17,5.66,58.83
Univ. De Gudalajara U.Los Altos,57,56,16,52.55,5.6,58.15
Univ Mich. San Nicolás de Hidalgo (Morelia),2197,2098,323,48.91,4.84,53.75
Univ Mich. San Niclás de Hidalgo (Zamora),66,64,22,51.81,4.99,56.8
Univ. Aut. De Morelos,187,182,65,53.31,6.11,59.42
Univ. Latinoamericana Esc. De Medicina,46,46,7,51.55,5.87,57.42
Inst Est Tec y Sup de Matatipac (Tepic),3,3,0,45.9,6.47,52.37
Univ. Aut. De Nayarit,277,257,74,50.95,5.56,56.51
Inst Tecnológico Est Sup Monterrey,107,99,64,58.88,7.71,66.59
Univ. Aut. De Nuevo León,714,688,353,55.69,6.52,62.21
Univ. Montemorelos,75,74,20,51.22,6.26,57.48
Univ. Monterrey,128,124,59,54.99,6.84,61.83
Univ. Aut Benito Juárez Oax,1049,1014,148,49.64,4.48,54.12
Univ. Regional del Sureste,203,193,35,49.54,5.41,54.95
B. Univ. Aut. (Puebla),1038,997,199,50.18,5.25,55.43
B. Univ. Aut. (Tehuacán),20,19,4,52.42,4.91,57.33
Inst. Est. Superiores Tepeaca,7,7,1,49.4,4.69,54.09
Univ. Popular Aut. Edo Pueblo,439,433,96,51.72,5.64,57.36
Univ. Aut. De Querétaro,73,68,47,58.88,6.51,65.39
"Univ. Del Valle de México, Campus Qro",155,151,32,51.4,6.18,57.58
Univ. Aut. San Luis Potosí,148,146,100,57.96,6.9,64.86
Univ. Aut. De Sinaloa,1012,974,182,49.23,4.94,54.17
Univ de Sonora,106,103,50,55.14,6.77,61.91
Univ. Juárez Aut. De Tabasco,409,404,44,47.71,4.79,52.5
UATamps U. Matamoros,183,173,22,48.59,4.99,53.58
UATamps U.Tampico,225,215,66,51.88,5.8,57.68
Univ. Del Noreste,239,231,35,47.85,5.18,53.03
Univ. México-American del Norte,56,52,5,46.54,5.14,51.68
UVBravo U. Cd.Victoria,106,100,12,47.85,4.64,52.49
UVBravo U. Reynosa,30,28,4,50.43,5.16,55.59
Univ. Aut. De Tlaxcala,433,425,83,49.44,4.58,54.02
Univ Aut. Veracruz Villa Rica,181,174,29,50.91,5.72,56.63
Univ. Veracruzana U. D. Mendoza,239,228,37,50.25,5.05,55.3
Univ. Veracruzana U. Cd. Minatitlán,117,115,27,52.03,5.34,57.37
Univ. Veracruzana U. Jalapa,271,263,65,51.91,5.78,57.69
Univ. Veracruzana U. Poza Rica,97,92,22,50.74,5.1,55.84
Univ. Veracruzana U. Veracruz,231,221,48,50.37,5.63,56
Univ. Aut. De Yucatán,163,148,79,56.36,6.54,62.9
Univ. Del Mayab,92,90,26,53.26,6.48,59.84
Univ. Aut. De Zacatecas,331,324,86,52.8,5.32,58.12
